timestamp,vehicleId,speed,heading,longitude,latitude
8.3065,376,21.93,21.9,-8642040,443407650
8.36819,598,30.44,23.6,-8651280,443394030
8.38435,450,24.98,23.6,-8645300,443402530
8.40585,524,32.63,23.6,-8650220,443394980
8.50623,376,21.93,21.9,-8641820,443408010
8.56792,598,30.9,23.6,-8650960,443394530
8.58462,450,24.95,23.6,-8645040,443402940
8.60612,524,32.42,23.6,-8649880,443395510
8.70623,376,21.93,21.9,-8641600,443408370
8.76792,598,31.27,23.6,-8650630,443395040
8.78435,450,24.99,23.6,-8644770,443403350
8.80585,524,32.25,23.6,-8649540,443396030
8.9065,376,21.93,21.9,-8641380,443408730
8.96819,598,31.66,23.6,-8650290,443395550
8.98435,450,24.94,23.6,-8644510,443403750
9.00585,524,32.07,23.6,-8649190,443396560
9.10623,376,21.93,21.9,-8641160,443409100
9.16792,598,32.08,23.6,-8649950,443396070
9.18462,450,24.99,23.6,-8644240,443404160
9.20612,524,31.91,23.6,-8648850,443397080
9.30623,376,21.93,21.9,-8640940,443409460
9.36792,598,32.52,23.6,-8649610,443396600
9.38435,450,24.95,23.6,-8643980,443404570
9.40585,524,31.7,23.6,-8648520,443397600
9.5065,376,21.93,21.9,-8640720,443409820
9.56819,598,33.02,23.6,-8649260,443397140
9.58435,450,24.99,23.6,-8643710,443404970
9.60585,524,31.57,23.6,-8648180,443398110
9.70623,376,21.93,21.9,-8640510,443410180
9.76792,598,33.38,23.6,-8648910,443397680
9.78462,450,24.95,23.6,-8643450,443405380
9.80612,524,31.4,23.6,-8647850,443398620
9.90623,376,21.93,21.9,-8640290,443410550
9.96792,598,33.78,23.6,-8648550,443398230
9.98435,450,24.95,23.6,-8643180,443405790
10.0059,524,31.21,23.6,-8647520,443399130
10.1065,376,21.93,21.9,-8640070,443410910
10.1682,598,34.23,23.6,-8648190,443398780
10.1843,450,24.98,23.6,-8642920,443406200
10.2059,524,31.11,23.6,-8647190,443399640
10.3062,376,21.93,21.9,-8639850,443411270
10.3679,598,34.65,23.6,-8647820,443399350
10.3846,450,24.97,22.9,-8642670,443406610
10.4061,524,30.94,23.6,-8646860,443400150
10.5062,376,21.93,21.9,-8639630,443411630
10.5679,598,35.15,23.6,-8647450,443399920
10.5843,450,24.92,22.3,-8642420,443407020
10.6059,524,30.75,23.6,-8646530,443400650
10.7065,376,21.93,21.9,-8639410,443411990
10.7682,598,35.61,23.6,-8647070,443400500
10.7843,450,24.82,21.9,-8642170,443407430
10.8059,524,30.5,23.6,-8646200,443401150
10.9062,376,21.93,21.9,-8639190,443412360
10.9679,598,35.97,23.6,-8646690,443401080
10.9846,450,24.73,21.9,-8641920,443407840
11.0061,524,30.28,23.6,-8645880,443401640
11.1062,376,21.93,21.9,-8638970,443412720
11.1679,598,35.97,23.6,-8646310,443401670
11.1843,450,24.7,21.9,-8641680,443408250
11.2059,524,30.12,23.6,-8645560,443402130
11.3065,376,21.93,21.9,-8638760,443413080
11.3682,598,35.98,23.6,-8645930,443402250
11.3843,450,24.63,21.9,-8641430,443408650
11.4059,524,29.94,23.6,-8645240,443402620
11.5062,376,21.93,21.9,-8638540,443413440
11.5679,598,35.99,23.6,-8645540,443402840
11.5846,450,24.55,21.9,-8641180,443409060
11.6061,524,29.74,23.6,-8644930,443403110
11.7062,376,21.93,21.9,-8638320,443413810
11.7679,598,36.01,23.6,-8645160,443403430
11.7843,450,24.46,21.9,-8640940,443409460
11.8059,524,29.55,23.6,-8644610,443403590
11.9065,376,21.93,21.9,-8638100,443414170
11.9682,598,36.06,23.6,-8644780,443404020
11.9843,450,24.37,21.9,-8640700,443409870
12.0059,524,29.32,23.6,-8644300,443404070
12.1062,376,21.93,21.9,-8637880,443414530
12.1679,598,35.97,23.6,-8644400,443404600
12.1846,450,24.32,21.9,-8640450,443410270
12.2061,524,29.2,23.6,-8643990,443404550
12.3062,376,21.93,21.9,-8637660,443414890
12.3679,598,35.96,23.6,-8644010,443405190
12.3843,450,24.24,21.9,-8640210,443410670
12.4059,524,28.96,23.6,-8643680,443405020
12.5065,376,21.93,21.9,-8637440,443415250
12.5682,598,36.07,23.6,-8643630,443405780
12.5843,450,24.16,21.9,-8639970,443411070
12.6059,524,28.78,23.6,-8643380,443405490
12.7062,376,21.93,21.9,-8637220,443415620
12.7679,598,36.07,23.5,-8643250,443406360
12.7846,450,24.1,21.9,-8639730,443411470
12.8061,524,28.65,23.6,-8643070,443405960
12.9062,376,21.93,21.9,-8637010,443415980
12.9679,598,36.03,21.9,-8642890,443406960
12.9843,450,24.04,21.9,-8639490,443411860
